"date","AVAV"
2024-03-27,149.279998779297
2024-03-28,153.279998779297
2024-04-01,149.419998168945
2024-04-02,145.850006103516
2024-04-03,146.899993896484
2024-04-04,146.419998168945
2024-04-05,148.529998779297
2024-04-08,152.309997558594
2024-04-09,149.850006103516
2024-04-10,147.440002441406
2024-04-11,148.490005493164
2024-04-12,147.119995117188
2024-04-15,146.119995117188
2024-04-16,149.460006713867
2024-04-17,146.619995117188
2024-04-18,146.699996948242
2024-04-19,150.020004272461
2024-04-22,149.720001220703
2024-04-23,158.300003051758
2024-04-24,157.990005493164
2024-04-25,155.639999389648
2024-04-26,158.089996337891
2024-04-29,159.240005493164
2024-04-30,159.789993286133
2024-05-01,162.529998779297
2024-05-02,165.720001220703
2024-05-03,168.770004272461
2024-05-06,179.889999389648
2024-05-07,179.589996337891
2024-05-08,181.460006713867
2024-05-09,187.330001831055
2024-05-10,186.470001220703
2024-05-13,187.279998779297
2024-05-14,194.259994506836
2024-05-15,193.039993286133
2024-05-16,192.729995727539
2024-05-17,193.830001831055
2024-05-20,197.149993896484
2024-05-21,196.779998779297
2024-05-22,196.179992675781
2024-05-23,197.210006713867
2024-05-24,199.770004272461
2024-05-28,198.800003051758
2024-05-29,197.75
2024-05-30,200.440002441406
2024-05-31,202.149993896484
2024-06-03,203.270004272461
2024-06-04,202.710006713867
2024-06-05,204.410003662109
2024-06-06,203.860000610352
2024-06-07,202.289993286133
2024-06-10,204.889999389648
2024-06-11,211.350006103516
2024-06-12,217.570007324219
2024-06-13,215.509994506836
2024-06-14,215.240005493164
2024-06-17,215.110000610352
2024-06-18,219.309997558594
2024-06-20,203.589996337891
2024-06-21,189.479995727539
2024-06-24,190.490005493164
2024-06-25,192.710006713867
2024-06-26,192.809997558594
2024-06-27,177.910003662109
